track_played_at,track_id,track_name,track_duration_min,track_popularity,primary_artist,primary_artist_id,album_id,album_name,album_release_year,primary_genre,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,popularity,followers
2021-09-18 02:08:41.500,0tUmJlf509tPqiGkwikR7K,The River,3.49,15,CYNE,7bTL2or1gi4VAjY7XzoK8e,4LIWOSvEBddxpGYcT9SrZP,Growing,2004-05-24,alternative hip hop,0.751,0.807,1,-9.631,1,0.492,0.116,0.0,0.0742,0.845,94.268,42,31800
2021-09-18 02:07:42.951,4xlpJ99yL9xYQtzG6c3hwk,Luv(sic.) pt3 (feat. Shing02),5.61,58,Nujabes,3Rq3YOF9YG9YfCWD4D56RZ,6nVACH6a27eOWiumAJhDWS,Modal Soul,2005-11-11,chillhop,0.866,0.691,5,-4.371,0,0.0478,0.727,0.503,0.0737,0.87,94.997,62,624683
2021-09-18 02:02:01.661,15hJmqqEtASVXl6sM7i4UF,trademark usa,4.51,72,Baby Keem,5SXuuuRpukkTvsLuUknva1,3r46DPIQeBQbjvjjV5mXGg,The Melodic Blue,2021-09-10,hip hop,0.615,0.6,10,-5.62,1,0.27,0.107,1.61e-06,0.283,0.0661,130.027,81,406839
2021-09-18 01:29:41.101,3s1tscuqVf5kMBr5e0Cf7P,Mood Swings,3.68,8,Rascalz,74LVRFFZZEDYha9qZXsPHF,5mJHJ4ycYgFtNK5mEF68MM,Cash Crop + Bonus Track,1998-02-25,canadian old school hip hop,0.82,0.661,8,-9.88,1,0.274,0.00547,0.0212,0.0462,0.602,95.022,29,4796
2021-09-18 01:24:30.450,6mmi0wu2uGDWKeDx4ufLEj,Heaven & Hell,2.15,32,El Michels Affair,0cLrgpG3pW4MX4nD8h6qCc,7ylTeGpMy2RbFDMGSnYjX5,Enter The 37th Chamber,2012-09-25,afrobeat,0.587,0.598,6,-8.689,1,0.0226,0.00449,0.87,0.12,0.543,78.166,55,120239
2021-09-18 01:22:20.937,739NXTw6XIUYbsXoQdEqUX,Aj's Instrumental,2.54,4,Think Twice,4XK78nskvKdcMNWwEsBYmG,69MoKk5NqFuaKJUMisqvVa,Jazz Carnival,2009-12-18,,0.638,0.449,7,-9.425,1,0.173,0.0809,0.00304,0.116,0.707,98.163,16,263
2021-09-18 01:15:37.842,18pwD0HrweX8oCgIkayRb4,Nun Major,2.53,67,Shoreline Mafia,4tYSBptyGeVyZsk8JC4JHZ,1FcJAZ1CkDSBRiQu47wrBU,ShorelineDoThatShit,2018-05-04,cali rap,0.79,0.518,8,-6.571,1,0.212,0.0936,0.0,0.357,0.487,97.986,70,893561
2021-09-18 01:10:27.817,0bjgQ24UZGwKikldIyEOgf,Yea Yea,3.1,61,Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj,7e7t0MCrNDcJZsPwUKjmOc,Shoot For The Stars Aim For The Moon,2020-07-03,brooklyn drill,0.717,0.474,5,-8.383,0,0.403,0.0509,0.0,0.139,0.448,123.906,89,7352146
2021-09-18 01:00:36.148,5AdhyCxxguV1wXde1vqgWC,BROKEN GIRLS,4.62,48,Saba,7Hjbimq43OgxaBRpFXic4x,6Te111t5gDZ7W94myHRqUt,CARE FOR ME,2018-04-05,alternative r&b,0.664,0.574,10,-10.593,0,0.102,0.319,0.0,0.171,0.484,117.054,65,508116
2021-09-18 00:54:18.778,15hJmqqEtASVXl6sM7i4UF,trademark usa,4.51,72,Baby Keem,5SXuuuRpukkTvsLuUknva1,3r46DPIQeBQbjvjjV5mXGg,The Melodic Blue,2021-09-10,hip hop,0.615,0.6,10,-5.62,1,0.27,0.107,1.61e-06,0.283,0.0661,130.027,81,406839
2021-09-17 23:23:21.003,4LeJfeJ9u53QLp997SRhim,Freshman List,3.11,51,NAV,7rkW85dBwwrJtlHRDkJDAC,1hTrdWpdPEeXHQWc9GmpxZ,RECKLESS,2018-05-18,canadian hip hop,0.748,0.587,11,-7.643,1,0.292,0.125,0.0,0.11,0.388,172.024,79,2662425
2021-09-17 23:21:26.519,7rC5Pl8rQSX4myONQHYPBK,Mob Ties,3.42,69,Drake,3TVXtAsR1Inumwj472S9r4,1ATL5GLyefJaxhQzSPVrLX,Scorpion,2018-06-29,canadian hip hop,0.754,0.575,4,-8.393,0,0.0682,0.045,0.00131,0.276,0.491,86.009,100,57226391
2021-09-17 23:13:27.196,6JAyoXUXt5RrAFuQzHeZYj,Criminology,1.59,30,El Michels Affair,0cLrgpG3pW4MX4nD8h6qCc,7ylTeGpMy2RbFDMGSnYjX5,Enter The 37th Chamber,2012-09-25,afrobeat,0.829,0.419,7,-6.749,0,0.0341,0.0272,0.852,0.0826,0.511,102.062,55,120239
2021-09-17 23:11:51.454,6uX5AhXSMgvkvEg3kgkKtQ,TRINE,3.14,7,Marty Valentine,7JCYYyIBno1eDpBqI436yk,0MT5ZX8H4tuT4ltxqzRVUu,STAYED DOWN,2021-08-20,,0.588,0.628,1,-7.506,1,0.134,0.048,0.00011,0.0896,0.828,124.995,8,185
2021-09-17 23:08:42.816,3vZO25GdYuqFrR1kzZADnp,Ready or Not,3.78,70,Fugees,2WKdxPFRD7IqZvlIAvhMgY,18XFe4CPBgVezXkxZP6rTb,The Score (Expanded Edition),1996-02-13,east coast hip hop,0.607,0.422,10,-13.364,0,0.499,0.209,0.0,0.0839,0.563,130.47,67,983869
2021-09-17 23:04:55.337,4UTIaNm0myRUwCOaVuZJHR,Can It All Be So Simple,3.3,44,El Michels Affair,0cLrgpG3pW4MX4nD8h6qCc,7ylTeGpMy2RbFDMGSnYjX5,Enter The 37th Chamber,2012-09-25,afrobeat,0.648,0.474,7,-9.072,1,0.0434,0.107,0.902,0.0802,0.224,82.474,55,120239
2021-09-17 23:01:36.977,5B3UWtenizSXqfh5lMMaDy,Moments,3.1,22,Freddie Joachim,0GgkfnO3Bu2CFn65ZH31TF,1KBoiks6JGkDQQwLLIOsiM,Midway,2010-07-16,ambeat,0.685,0.66,0,-4.925,1,0.114,0.14,0.866,0.181,0.391,92.992,45,45633
2021-09-17 22:58:30.675,42il7TuY2vBP0QnWnjpxnI,Players,2.44,36,Slum Village,1020a42xVklY6c56imNcaa,22IhsI5JpldSrE7vhidAja,"Fan-Tas-Tic, Vol. 2",2009-01-26,alternative hip hop,0.805,0.473,1,-5.924,1,0.484,0.18,0.0,0.116,0.7,92.944,56,233902
2021-09-17 22:00:20.685,6180Fv9Y1zovHtrIVaTGSM,Won't Trade,2.69,51,Q-Tip,3ZotbHeyVQKxQCPDJuQ4SU,6V5Ct3kX5Yk74z4MLZB6h9,The Renaissance,2008-11-04,alternative hip hop,0.811,0.485,11,-8.576,1,0.176,0.0798,0.0,0.137,0.952,95.818,63,482979
2021-09-17 21:57:38.812,5oZzpFGTtA9qh64Sn04k2O,Relentless,3.27,12,Kenn Starr,6ePodDqNBUy5SkP7U5OpxL,2XIN8DNrY239etJ8WXFcXg,Starr Status,2006-08-29,,0.501,0.641,2,-6.492,1,0.346,0.0898,0.0,0.0888,0.673,86.179,20,10281
