artist_id,artist_name,artist_popularity,artist_followers,primary_genre
6G1yTgvoYsuVb2Ja8cVVJ2,anders,56,116999,canadian contemporary r&b
3TVXtAsR1Inumwj472S9r4,Drake,100,57226391,canadian hip hop
6TrQLQR8tUluPbmdPy6jqY,ELHAE,52,171292,alternative r&b
1A9o3Ljt67pFZ89YtPPL5X,Snoh Aalegra,70,650893,alternative r&b
07UJz804RJxqNvxFXC3h9H,Sam Gellaitry,47,81270,electronic trap
3CE8Ux0j4kdaWpqCssKnVA,TEK.LUN,31,18371,future bass
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,97,15087280,chicago rap
2EMAnMvWE2eb56ToJVfCWs,Bryson Tiller,78,5088476,kentucky hip hop
36UnfzYd835ufc9ajoT9Kk,DrewsThatDude,25,6827,future bass
6iWuBN32BqCJAeXW6o3nil,Cautious Clay,63,187670,alternative r&b
0fTav4sBLmYOAzKuJw0grL,Mac Ayres,62,421286,alternative r&b
0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,89,7352146,brooklyn drill
0cGUm45nv7Z6M6qdXYQGTX,Kehlani,79,5016574,dance pop
7e3FtKBIPLrIVm8g1FJMVg,Sango,53,166970,abstract beats
4KZmpaIhanIo46eaQimtgO,ESTA.,40,36435,vapor twitch
6XyY86QOPPrYVGvF9ch6wz,Linkin Park,84,19924650,alternative metal
3tlXnStJ1fFhdScmQeLpuG,Brent Faiyaz,78,1787673,dmv rap
37nE9g0LRDhDSIejDuPKPS,Evil Needle,44,33745,chillhop
2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,78,3208541,pop
5SXuuuRpukkTvsLuUknva1,Baby Keem,81,406839,hip hop
6qgnBH6iDM91ipVXv28OMu,KAYTRANADA,69,882274,escape room
6aaMZ3fcfLv4tEbmY7bjRM,Isaiah Rashad,75,980170,hip hop
3fcW2V4zOfFm0IsWCJUuzz,Zilo,41,22295,alternative r&b
5PcwbyuOX1pnaeVYatEEB2,Dilip,46,7200,phonk
5qfkUSH3ip5dD2eEPhjkT3,Kyle Dion,52,146125,alternative r&b
2ICR2m4hOBPhaYiZB3rnLW,Sonder,63,288390,alternative r&b
78xUyw6FkVZrRAtziFdtdu,The Roots,63,1088565,alternative hip hop
2DLlb2Se6eF0mMTYffyAcn,IAMNOBODI,42,38756,alternative r&b
4S3cwLP8haGAdlqyza3GZ3,Otxhello,35,4865,lo-fi beats
5tCcGNhAW0do4RlIz9WilZ,Dpat,30,19398,
23zg3TcAtWQy7J6upgbUnj,Usher,81,9019581,atl hip hop
3GQboECxDT1xqPPWC30p7v,Charlotte Day Wilson,61,167726,alternative r&b
5qKCgbxBDmDc9Ckgmt4EaN,Sinjin Hawke,32,19349,bass music
5XenQ7XfcvQdfIbpLEFaKQ,GoldLink,69,749198,alternative r&b
5FdZDr2bMbEcnsEKRgO3rn,Phabo,47,6532,alternative r&b
4HzKw8XcD0piJmDrrPRCYk,Majid Jordan,67,625651,alternative r&b
2I9SLklAOG0vdMiUUMNxRl,88GLAM,57,381852,canadian hip hop
12trz2INGglrKMzLmg0y2C,Emotional Oranges,60,189118,alternative r&b
5lDtfHPqWN6MG9tFywnW8J,Kiefer,49,64906,indie jazz
0IVapwlnM3dEOiMsHXsghT,Nosaj Thing,49,185041,bass music
7r8RF1tN2A4CiGEplkp1oP,Ginuwine,67,1948608,dance pop
0Ek89uaJyo6NfWK22awFvI,VanJess,59,122456,alternative r&b
1crlEwxm5dcQjCcgCJEyqg,Abhi//Dijon,39,41409,alternative r&b
10JL2s5aUztzFyURrFrxtL,Louke Man,23,869,
57LYzLEk2LcFghVwuWbcuS,Summer Walker,77,2584978,pop
1kmyK4B8GpPz1nHI2MvOSO,ANH,45,3874,future bass
2O7oRN5HAWrg21HegiHMXK,Atu,32,22934,
7fNI5DhplKeFCErRvzRCVO,Mack Keane,36,4461,alternative r&b
5YZ5AExR68U3ZblH6HcO6B,Leven Kali,57,134509,alternative r&b
7e1ICztHM2Sc4JNLxeMXYl,dvsn,67,999506,alternative r&b
